,Rank,Strategy,Final_Value,Total_Return_%
0,1,RBF_DivMom_0.6_0.4_0.0,1.4163026486098833,41.63026486098833
1,2,RBF_DivMom_0.7_0.3_0.0,1.4162436940039358,41.624369400393576
2,3,RBF_DivMom_0.5_0.5_0.0,1.4161089595872747,41.61089595872747
3,4,RBF_DivMom_0.8_0.2_0.0,1.4159318121877291,41.59318121877291
4,5,RBF_DivMom_0.4_0.6_0.0,1.4156630311123837,41.56630311123837
5,6,RBF_DivMom_0.9_0.1_0.0,1.4153668405703745,41.536684057037455
6,7,RBF_DivMom_0.3_0.7_0.0,1.414965387473291,41.496538747329105
7,8,RBF_DivMom_1.0_0.0_0.0,1.4145487378608501,41.45487378608501
8,9,RBF_DivMom_0.2_0.8_0.0,1.4140166725011043,41.40166725011043
9,10,RBF_DivMom_0.1_0.9_0.0,1.4128176489158508,41.281764891585084
10,11,RBF_DivMom_1.0_0.0_0.3,1.412473618578154,41.24736185781539
11,12,RBF_DivMom_0.9_0.1_0.3,1.4115151487639772,41.15151487639772
12,13,RBF_DivMom_0.0_1.0_0.0,1.4113691975878209,41.136919758782085
13,14,RBF_DivMom_0.8_0.2_0.3,1.410265984376649,41.026598437664894
14,15,RBF_DivMom_0.7_0.3_0.3,1.4087270816139679,40.87270816139679
15,16,RBF_DivMom_0.6_0.4_0.3,1.406899555404235,40.6899555404235
16,17,RBF_DivMom_0.5_0.5_0.3,1.4047846782534956,40.47846782534956
17,18,RBF_DivMom_0.4_0.6_0.3,1.4023838789644807,40.23838789644807
18,19,RBF_DivMom_0.3_0.7_0.3,1.399698741228953,39.9698741228953
19,20,RBF_DivMom_0.2_0.8_0.3,1.3967310020950983,39.673100209509826
20,21,RBF_DivMom_0.1_0.9_0.3,1.3934825503118238,39.348255031182376
21,22,RBF_DivMom_0.0_1.0_0.3,1.3899554245520125,38.995542455201246
22,23,RBF_DivMom_1.0_0.0_0.45,1.3830884561075663,38.30884561075663
23,24,RBF_DivMom_0.9_0.1_0.45,1.37320573605081,37.32057360508101
24,25,RBF_DivMom_0.0_1.0_0.15,1.369467867819974,36.94678678199741
25,26,RBF_DivMom_0.1_0.9_0.15,1.3692112863690427,36.921128636904264
26,27,RBF_DivMom_0.2_0.8_0.15,1.3687031294328786,36.870312943287864
27,28,RBF_DivMom_0.3_0.7_0.15,1.3679434167852984,36.79434167852984
28,29,RBF_DivMom_0.4_0.6_0.15,1.3669322932519539,36.69322932519539
29,30,RBF_DivMom_0.5_0.5_0.15,1.3656700287607948,36.56700287607948
30,31,RBF_DivMom_0.6_0.4_0.15,1.3641570182983613,36.41570182983613
31,32,RBF_DivMom_0.8_0.2_0.45,1.3630398011401412,36.303980114014124
32,33,RBF_DivMom_0.7_0.3_0.15,1.3623937817717604,36.23937817717604
33,34,RBF_DivMom_0.8_0.2_0.15,1.3603809637762987,36.03809637762987
34,35,RBF_DivMom_0.9_0.1_0.15,1.3581193332689032,35.81193332689032
35,36,RBF_DivMom_1.0_0.0_0.15,1.3556097831474867,35.56097831474867
36,37,RBF_DivMom_0.7_0.3_0.45,1.352598005271502,35.25980052715021
37,38,RBF_DivMom_0.6_0.4_0.45,1.3418878326658545,34.18878326658545
38,39,RBF_DivMom_0.5_0.5_0.45,1.3309168899887038,33.09168899887038
39,40,RBF_DivMom_0.4_0.6_0.45,1.3196928984151974,31.969289841519743
40,41,RBF_DivMom_1.0_0.0_0.6,1.309269929551611,30.926992955161104
41,42,RBF_DivMom_0.3_0.7_0.45,1.3082236856510752,30.822368565107517
42,43,RBF_DivMom_0.2_0.8_0.45,1.296517177919592,29.651717791959207
43,44,RBF_DivMom_0.9_0.1_0.6,1.2953814039760991,29.538140397609915
44,45,RBF_DivMom_1.0_0.0_1.0,1.2925794436812896,29.257944368128964
45,46,RBF_DivMom_0.1_0.9_0.45,1.2845813919245446,28.458139192454457
46,47,RBF_DivMom_1.0_0.0_0.9,1.2812742359776825,28.127423597768253
47,48,RBF_DivMom_0.8_0.2_0.6,1.2811952697056614,28.119526970566145
48,49,RBF_DivMom_0.0_1.0_0.45,1.2724244267994151,27.242442679941515
49,50,RBF_DivMom_0.7_0.3_0.6,1.2667238061146082,26.672380611460824
50,51,RBF_DivMom_0.9_0.1_0.9,1.2550440965286789,25.50440965286789
51,52,RBF_DivMom_0.6_0.4_0.6,1.2519794212522986,25.197942125229854
52,53,RBF_DivMom_1.0_0.0_0.75,1.2386298946146903,23.86298946146903
53,54,RBF_DivMom_0.5_0.5_0.6,1.236974636081416,23.6974636081416
54,55,RBF_DivMom_0.8_0.2_0.9,1.2284163953531282,22.84163953531282
55,56,RBF_DivMom_0.4_0.6_0.6,1.2217220687377224,22.17220687377224
56,57,RBF_DivMom_0.9_0.1_0.75,1.20979674862667,20.979674862667007
57,58,RBF_DivMom_0.3_0.7_0.6,1.2062344188358414,20.623441883584135
58,59,RBF_DivMom_0.7_0.3_0.9,1.2014299732766407,20.14299732766407
59,60,RBF_DivMom_0.2_0.8_0.6,1.1905244518453002,19.052445184530022
60,61,RBF_DivMom_0.8_0.2_0.75,1.1809339592300887,18.09339592300887
61,62,RBF_DivMom_0.1_0.9_0.6,1.1746049835606127,17.460498356061272
62,63,RBF_DivMom_0.6_0.4_0.9,1.1741236277487561,17.41236277487561
63,64,RBF_DivMom_0.0_1.0_0.6,1.1584888646887983,15.84888646887983
64,65,RBF_DivMom_0.7_0.3_0.75,1.1520695711237845,15.20695711237845
65,66,RBF_DivMom_0.5_0.5_0.9,1.1465360338602837,14.653603386028369
66,67,RBF_DivMom_0.6_0.4_0.75,1.1232311083719735,12.323110837197348
67,68,RBF_DivMom_0.4_0.6_0.9,1.1187056670076645,11.87056670076645
68,69,RBF_DivMom_0.5_0.5_0.75,1.0944455377834148,9.44455377834148
69,70,RBF_DivMom_0.3_0.7_0.9,1.0906707273851979,9.067072738519787
70,71,RBF_DivMom_0.4_0.6_0.75,1.0657392340630696,6.5739234063069585
71,72,RBF_DivMom_0.2_0.8_0.9,1.062469066477402,6.246906647740191
72,73,RBF_DivMom_0.3_0.7_0.75,1.0371379467829458,3.7137946782945797
73,74,RBF_DivMom_0.1_0.9_0.9,1.0341381157145972,3.413811571459724
74,75,RBF_DivMom_0.2_0.8_0.75,1.0086667692134799,0.8666769213479864
75,76,RBF_DivMom_0.0_1.0_0.9,1.0057148174453012,0.5714817445301223
76,77,RBF_DivMom_0.1_0.9_0.75,0.980350109051295,-1.9649890948704951
77,78,RBF_DivMom_0.0_1.0_0.75,0.9522116610738124,-4.778833892618762
78,79,RBF_DivMom_0.9_0.1_1.0,0.510557234366863,-48.94427656331371
79,80,RBF_DivMom_0.8_0.2_1.0,-0.26382002753711137,-126.38200275371115
80,81,RBF_DivMom_0.7_0.3_1.0,-1.0293784156285073,-202.9378415628507
81,82,RBF_DivMom_0.6_0.4_1.0,-1.7849758218332954,-278.49758218332954
82,83,RBF_DivMom_0.5_0.5_1.0,-2.5295043758593354,-352.9504375859335
83,84,RBF_DivMom_0.4_0.6_1.0,-3.261892734082999,-426.18927340829987
84,85,RBF_DivMom_0.3_0.7_1.0,-3.9811082325056018,-498.11082325056014
85,86,RBF_DivMom_0.2_0.8_1.0,-4.686158898974263,-568.6158898974263
86,87,RBF_DivMom_0.1_0.9_1.0,-5.376095320430111,-637.6095320430111
87,88,RBF_DivMom_0.0_1.0_1.0,-6.0500123615205945,-705.0012361520595
